text,SDGs,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG14,SDG15,SDG16,SDG17,labels
"Analisis Penggunaan Social Media Monitoring Terhadap Eksistensi Opini Publik (Studi kasus pada PT. Telkom Indonesia Tbk Digital Platform). Dengan semakin berkembangnya teknologi informasi dan komunikasi saat ini, membuat masyarakat baik secara individu maupun masyarakat dalam ranah industri melakukan kegiatan komunikasi dengan menggunakan media yang sering disebut sebagai media digital. Media digital yang umum digunakan saat ini adalah media digital yang umumnya dimiliki oleh netizen Indonesia yaitu media sosial. Dengan hanya memiliki akses internet semua netizen dapat menjadi pengguna media sosial. Penggunaan akses internet tidak hanya digunakan oleh masyarakat Indonesia secara personal, namun masyarakat Indonesia untuk berinteraksi dalam sebuah industri/perusahaan sering berinteraksi dengan penggunaan media internet, mengingat perkembangan Revolusi Industri Digital sudah memasuki Revolusi Industri 4.0. ""Baik praktisi maupun akademisi sepakat bahwa revolusi sosial yang terjadi melalui saluran digital akan berdampak besar pada cara orang berinteraksi satu sama lain dan bagaimana perusahaan mengelola hubungan mereka dalam lanskap komunikasi yang berubah (Greenberg, 2010; Kletzmann dkk, 2011; Dennis dkk, 2009)"" (Jurnal Bisnis & Pemasaran Industri, Vol. 30). Pemerintah berkomitmen untuk meningkatkan posisi daya saing Indonesia dari peringkat 41 ke peringkat 39 dunia dari 138 negara yang terdaftar dalam Global Competitiveness Report 2016-2017. Untuk mencapai tujuan tersebut, salah satu solusi yang tengah didorong oleh Kementerian Perindustrian adalah memacu industri dalam negeri untuk terus berinovasi dalam menghadapi implementasi Industri 4.0. Karena hal tersebut, interaksi manusia dalam industri tidak akan terlepas dari sebuah proses komunikasi, hanya saja saat ini yang berbeda adalah alat/media dalam melakukan proses komunikasi tersebut, yang semula menggunakan media komunikasi konvensional beralih ke media komunikasi konvergensi (digital). Saat ini PT. Telkom Indonesia Tbk sebagai subjek penelitian ini, melakukan pemantauan dan analisis opini publik salah satunya dengan menggunakan Social Media Monitoring. Berdasarkan hasil pra riset dengan mewawancarai beberapa informan, mereka mengatakan bahwa PT. Telkom Indonesia Tbk melakukan Social Media Monitoring dengan tujuan untuk mengetahui seberapa besar sentimen positif/negatif terhadap brand Social Media Telkom secara keseluruhan dalam membangun Corporate Image dan juga untuk hal-hal lain yang dibutuhkan seperti membangun Product Image dan Product Marketing. PT. Telkom Indonesia Tbk melakukan analisis opini publik dengan penggunaan media sosial karena ada unsur pengalihan pola komunikasi dari media konvensional ke media digital, namun terlepas dari hal tersebut, PT. Telkom Indonesia Tbk tetap menganalisis opini publik secara konvensional, diantaranya melalui e-mail, suara pembaca, juga melalui layanan call center 147 dan juga melalui aplikasi ""apps my indihome"". Selain itu, PT Telkom Indonesia juga sering melakukan analisis opini publik dengan dukungan berbagai event lainnya yaitu ""Public Hearing"" dan juga ""Focus Group Discussion"" yang dilakukan oleh masing-masing divisi pemegang platform dimana dalam penelitian ini adalah Divisi Corporate Communication, Divisi Customer Care dan juga Divisi Marketing Promo. Metode penelitian yang digunakan dalam penelitian ini adalah studi kasus dimana terdapat kekhasan dalam penelitian ini yaitu PT Telkom Indonesia Tbk merupakan industri yang sangat memperhatikan opini publik terhadap pelanggannya sehingga penanganan feedback menjadi hal yang sangat penting dan utama dengan melakukan social media monitoring yang dibantu oleh agensi atau yang dilakukan oleh karyawan unit terkait. © 2019, Perpustakaan Filosofi dan Praktik.","['SDG9', 'SDG17']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
"Dosen dan literasi di perguruan tinggi. Gerakan literasi saat ini menjadi sebuah gerakan yang disosialisasikan di setiap lapisan masyarakat. Kegiatan literasi merupakan hak asasi manusia di sepanjang hidupnya, dimana harapan mereka menyatakan bahwa dengan memiliki kompetensi literasi yang semakin tinggi, maka kualitas hidup mereka akan semakin meningkat. Efek berganda yang ditimbulkannya dapat membantu pembangunan berkelanjutan seperti pengentasan kemiskinan, pertumbuhan penduduk, pengurangan angka kematian dan lain-lain. Adapun ciri-ciri dalam era revolusi industri yaitu meliputi digitalisasi, optimasi dan kustomisasi produksi, otomatisasi dan adaptasi, interaksi antara manusia dengan mesin, nilai tambah layanan dan bisnis, pertukaran data dan komunikasi otomatis, dan informasi teknologi. Sementara itu, perguruan tinggi sebagai salah satu lembaga pengembangan sumber daya manusia harus mengembangkan berbagai strategi untuk menghadapi transformasi industri, terutama bagi para dosen yang fokus pada bidangnya. Dosen memiliki peran yang paling penting dalam pendidikan tinggi. Dosen harus memiliki kompetensi dan keterampilan untuk menghasilkan lulusan yang berkualitas. Literasi menjadi sebuah kewajiban bagi dosen yang berada di era ini. Tujuan dari artikel ini adalah untuk menginformasikan kepada pembaca jenis-jenis literasi yang harus dimiliki oleh dosen. Metode yang digunakan untuk mengumpulkan data diambil dari studi literatur. Hasil dari tinjauan literatur dapat disimpulkan bahwa ada beberapa jenis literasi, yaitu: literasi digital, literasi statistik, literasi media, dan literasi kritis. © 2019 oleh Advance Scientific Research.","['SDG4', 'SDG9']",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Tanggapan hotel terhadap keluhan online. Tujuan dari penelitian ini adalah untuk mengeksplorasi reaksi hotel terhadap perilaku komplain online dari pelanggan yang tidak puas. Dasar pemikiran dari penelitian ini didasarkan pada fakta bahwa sebagian besar penelitian dalam bidang kegagalan layanan dan pemulihan layanan berada dalam konteks pertemuan layanan off line daripada platform on line. Padahal, di era e-commerce, pelanggan semakin melibatkan informasi dan teknologi dalam konsumsi produk dan layanan mereka. Mulai dari mencari informasi, memutuskan, membeli, mengkonsumsi, hingga menyebarkan informasi mengenai pengalaman mereka menggunakan media online. Oleh karena itu, perusahaan bisnis perlu memahami perilaku online pelanggan mereka dan bagaimana meresponnya. Dengan menggunakan pendekatan kualitatif terhadap 81 keluhan online mengenai layanan hotel di Indonesia, ditemukan bahwa tidak banyak hotel yang terlibat dalam percakapan online. Upaya tersebut dilakukan secara dominan oleh hotel-hotel berbintang tinggi. Jenis reaksi yang paling sering dilakukan adalah permintaan maaf. Beberapa hotel menyertakan penjelasan terkait kasus yang terjadi, namun hanya sekedar meminta maaf. Hanya beberapa hotel yang menawarkan potongan harga kamar atau voucher untuk kunjungan berikutnya. Menariknya, jumlah diskon tampaknya cukup memadai karena pelanggan menganggap diskon kurang dari 10% dianggap tidak berarti. Implikasi manajerial dan arahan untuk penelitian di masa depan disajikan. © 2018 Asosiasi Mesin Komputasi.",['SDG17'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Analisis spillover volatilitas pasca implementasi perjanjian MEA 2015: Studi empiris pada pasar modal ASEAN-5. Upaya peningkatan integrasi keuangan yang terus dilaksanakan pasca implementasi kesepakatan Masyarakat Ekonomi Asean 2015, dapat mendorong peningkatan integrasi pasar modal di negara-negara dalam kawasan. Penelitian ini dilakukan untuk menginvestigasi spillover volatilitas antar pasar modal yang mengiringi upaya integrasi keuangan yang terus dilakukan oleh negara-negara anggota ASEAN. Investigasi spillover volatilitas dilakukan dengan menerapkan metode Exponential GARCH pada data runtun waktu harian return saham negara-negara ASEAN-5 periode September 2016-20 Desember 2017. Jika penelitian sebelumnya menemukan adanya spillover volatilitas yang signifikan dari Singapura, Malaysia, Thailand, dan Filipina, hasil penelitian ini menunjukkan bahwa hanya bursa saham Singapura yang secara konsisten memberikan dampak yang signifikan terhadap pasar saham Indonesia. Gejolak di bursa saham Singapura secara konsisten akan ditransmisikan ke bursa saham Indonesia. Namun, upaya peningkatan integrasi keuangan yang dilakukan oleh negara-negara anggota ASEAN tidak secara konsisten menyebabkan gejolak di bursa saham Malaysia, Thailand, dan Filipina ditransmisikan ke pasar saham Indonesia. © 2018, International Journal of Financial Research.",['SDG17'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Analisis Tipe Pembelajaran Temporal Berdasarkan Pendekatan Tiga Faktor. Kebutuhan dan karakteristik yang berbeda di antara pengguna e-learning telah menjadi alasan utama di balik munculnya penelitian tentang personalisasi e-learning. Di satu sisi, personalisasi perlu menentukan tipe belajar peserta didik. Di sisi lain, tipe belajar berubah seiring berjalannya waktu. Penelitian ini mengeksplorasi perubahan tipe belajar dengan menggunakan analisis data temporal. Penelitian ini mengadaptasi Pendekatan Tiga Faktor yang mencakup gaya belajar, motivasi, dan kemampuan pengetahuan dalam menentukan tipe belajar. Tujuan dari penelitian ini adalah untuk mengeksplorasi bagaimana cara yang berbeda dan waktu yang berbeda dalam mencatat log aktivitas dapat mempengaruhi identifikasi tipe belajar. Catatan aktivitas disediakan oleh Moodle. Untuk menyediakan data temporal, data log aktivitas dikumpulkan pada empat waktu yang berbeda. Pada setiap periode, data diambil secara kumulatif dan non-kumulatif. Hasilnya menunjukkan bahwa tipe belajar peserta didik sangat mungkin berubah dari waktu ke waktu. Analisis data temporal menunjukkan bahwa cara belajar, motivasi belajar, dan tingkat pengetahuan peserta didik bersifat dinamis. Intensitas kegiatan seseorang di akhir semester bisa jadi berbeda dengan kegiatan di awal minggu. Demikian juga dengan motivasi dan tingkat pengetahuan. © 2017 IEEE.",['SDG4'],0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Komunikasi singkat: Komunitas arthropoda penghuni gua di Gua Pertunjukan Semedi di Kawasan Karst Gunungsewu, Pacitan, Jawa Timur, Indonesia. Arthropoda adalah kelompok hewan utama yang memiliki peran penting dalam menjaga stabilitas ekosistem gua. Gua Semedi merupakan gua pertunjukan baru, namun informasi mengenai arthropoda di gua ini belum tersedia. Pemanfaatan gua sebagai objek wisata akan membawa perubahan lingkungan yang berpotensi mengganggu komunitas artropoda penghuni gua. Penelitian ini bertujuan untuk mengetahui keanekaragaman arthropoda dan hubungannya dengan faktor abiotik di Gua Pertunjukan Semedi. Pengambilan sampel artropoda dilakukan dengan metode hand collecting, kombinasi perangkap jebakan dan umpan, serta Berlese extractor. Faktor abiotik yang diukur adalah parameter iklim dan edafik. Pengambilan sampel dilakukan di 3 zona gua Semedi (Pintu Masuk, Senja, dan Gelap). Data dianalisis dengan perhitungan indeks kekayaan (Margalef), keanekaragaman dan kemerataan (Shannon-Wiener), analisis klaster dan korelasi. Sebanyak 1095 individu arthropoda yang terdiri dari 102 morfospesies, termasuk dalam 6 Kelas, dan 19 Ordo menjadi sampel dalam penelitian ini. Zona pintu masuk memiliki indeks kekayaan dan keanekaragaman yang lebih tinggi (kekayaan = 12,80, keanekaragaman = 3,40) dibandingkan zona senja (kekayaan = 7,85, keanekaragaman = 3,25) dan zona gelap (kekayaan = 5,35, keanekaragaman = 2,63). Sementara itu, zona senja memiliki indeks kemerataan yang lebih tinggi (0,85) dibandingkan zona masuk (0,77) dan zona gelap (0,77). Setiap zona di Gua Semedi memiliki kondisi abiotik yang berbeda. Kondisi abiotik dan komunitas Arthropoda di zona senja dan zona gelap lebih mirip satu sama lain dibandingkan dengan zona pintu masuk. Analisis statistik menunjukkan bahwa terdapat korelasi yang signifikan antara faktor abiotik dan komunitas arthropoda. Semedi memiliki berbagai artropoda penghuni gua. Pengelolaan gua yang berkelanjutan harus diterapkan untuk meminimalisir dampak destruktif dari kegiatan pariwisata terhadap komunitas artropoda gua. © 2018, Masyarakat untuk Keanekaragaman Hayati Indonesia. Hak cipta dilindungi undang-undang.","['SDG8', 'SDG12', 'SDG17']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1]"
"Pemodelan karang yang disederhanakan dalam pembuatan pola batik. Karang merupakan salah satu organisme laut yang memiliki keindahan dan keanekaragaman. Sayangnya, keanekaragaman ini belum banyak dieksplorasi untuk menciptakan pola yang artistik, khususnya batik. Meskipun banyak sekali motif batik yang berbasis alam, namun sebagian besar motif batik tersebut dikembangkan dari tumbuhan darat. Di sisi lain, Indonesia sebagai negara kepulauan memiliki banyak sekali biota laut dan salah satunya adalah karang. Pada penelitian ini, kami mengusulkan penyederhanaan model komputasi karang. Penyederhanaan ini diperlukan karena pemodelan pertumbuhan atau morfologi karang secara nyata sangat rumit dan memakan banyak sumber daya. Model ini kemudian diimplementasikan untuk membuat pola batik secara komputasi. Model ini dikembangkan berdasarkan pendekatan stokastik. Dalam penelitian ini, kami mengusulkan tiga model karang berdasarkan genus: Leptoseris, Gardinesoris, dan Acropora. Model-model dasar karang ini kemudian diimplementasikan untuk menghasilkan pola batik dengan menambahkan objek-objek artistik. Berdasarkan beberapa pengujian, perubahan beberapa variabel yang dikontrol dapat menghasilkan bentuk atau variasi yang berbeda. Pada beberapa rentang, gambar yang dihasilkan masih dapat dikenali sebagai karang. Pada rentang yang lain, citra yang dihasilkan tidak dapat dikenali lagi sebagai karang. Dengan mengabaikan aspek lingkungan dan biologi yang rumit, model yang diusulkan masih dapat menghasilkan pola karang dan kemudian diimplementasikan untuk menghasilkan pola batik. © 2005 - JATIT & LLS yang sedang berlangsung.",['SDG17'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Desain jaringan komunikasi tulang punggung serat optik darat di Sumatera Utara. Permintaan transmisi data berkecepatan tinggi telah meningkat secara signifikan dalam beberapa tahun terakhir. Oleh karena itu, tulang punggung transmisi yang menghubungkan antar kabupaten diperlukan untuk mendukung jaringan tulang punggung yang sudah ada yang menghubungkan semua ibukota provinsi. Dalam penelitian ini, sebuah jaringan backbone komunikasi serat optik di provinsi Sumatera Utara, Indonesia dirancang untuk mendukung konektivitas siaran ke semua kabupaten. Sumatera Utara dipilih karena memiliki populasi terbesar di Sumatera. Jaringan yang diusulkan mencakup 29 kabupaten di Sumatera Utara dengan 27 jalur darat. Power link dan rise time budget untuk semua rute menunjukkan hasil yang dapat diterima, yaitu di bawah loss maksimum yang diizinkan yaitu 32 dB dan waktu dispersi maksimum 350 ps. Oleh karena itu, jaringan desain yang diusulkan layak untuk diimplementasikan. © 2018 IEEE.",['SDG17'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Inovasi Layanan di Industri Ritel: Apa yang dapat kita pelajari dari Target? Peritel telah menghadapi persaingan yang semakin ketat sejak lahirnya e-commerce yang mendisrupsi model bisnis konvensional dan fisik. Dengan keberhasilan mengubah insiden keamanan yang merugikan menjadi kesuksesan finansial, sebuah studi kasus dibuat untuk menganalisis pendekatan inovatif Target dengan menggunakan model kapabilitas inovasi organisasi dari Lawson dan Samson, yang kemudian dihubungkan dengan konsep loyalitas pelanggan dan merek. Wawasan dari konsumen juga dianalisis melalui konsep perilaku konsumen yang memberikan pembahasan lebih dalam mengenai inisiatif inovasi layanan secara keseluruhan. © 2018 IEEE.",['SDG9'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"Studi mengenai model kanal untuk jaringan 5G di Indonesia. Generasi telekomunikasi kelima (5G) diperkirakan akan digunakan pada tahun 2020 dengan peningkatan dan layanan yang signifikan. Makalah ini mempelajari model awal kanal 5G Indonesia berdasarkan model kanal spasial statistik (SSCM) untuk frekuensi operasi 28 GHz. Kami menghitung estimasi kapasitas kanal 5G Indonesia (per link) dari power delay profile (PDP) yang diperoleh untuk mengamati probabilitas pemadaman yang mewakili kinerja teoritis 5G di Indonesia. Probabilitas outage dihitung dari probabilitas ketika kapasitas kanal C turun ke nilai di bawah laju pengkodean kanal R dengan probabilitas P (R ≥ C) karena adanya dynamic fading, yang mengindikasikan kegagalan deteksi. Probabilitas pemadaman secara rinci dianalisis dalam makalah ini karena diharapkan dapat digunakan sebagai referensi kinerja 5G di Indonesia. Kami melakukan serangkaian simulasi komputer untuk mengevaluasi kinerja 5G Indonesia di bawah model kanal yang diperoleh berdasarkan cyclic prefix-orthogonal frequency division multiplexing (CP-OFDM) dengan skema pengkodean kanal. Kami menemukan kesepakatan dalam hal keragaman probabilitas pemadaman praktis dan teoritis yang mengonfirmasi estimasi yang baik dari kinerja 5G di Indonesia. Hasil penelitian ini diharapkan dapat berguna untuk membantu eksperimen 5G di lapangan secara nyata di Indonesia dan membantu desain dan implementasi jaringan 5G di Indonesia secara optimal di Indonesia. © 2018 IEEE.",['SDG17'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
